CtrlSieve;       smoc_CtrlSieve
DcDecoding;      smoc_DcDecoding
Dup;             smoc_Dup
FileSource;      smoc_FileSource
FrameShuffler;   smoc_FrameShuffler
HuffTblDecoder;  smoc_HuffTblDecoder
InvHuffman;      smoc_InvHuffman
InvQuant;        smoc_InvQuant
InvZigZag;       smoc_InvZigZag
InvZrl;          smoc_InvZrl
MBlock2Row;      smoc_MBlock2Row
MCol2Block;      smoc_MCol2Block
MNIdctCol;       smoc_MNIdctCol
MNIdctRow;       smoc_MNIdctRow
MRangeAdj;       smoc_MRangeAdj
MTranspose;      smoc_MTranspose
Parser;          smoc_Parser
YCrCb2RGB;       smoc_YCrCb2RGB
m_pgm_sink;      smoc_m_pgm_sink
